pid,tid,d,d1,margin,moved,conf
20700,99445,0.6770466730262388,0.6770466730262388,0.4623228408806699,False,False
20938,70425,0.11997791577168715,0.11997791577168715,0.7385338286861483,False,True
21095,69158,0.5391306581711158,0.5391306581711158,0.3343823562608653,False,False
21170,71837,0.11795461204072707,0.11795461204072707,1.0564191762526978,False,True
21178,71845,0.5865605548059254,0.5865605548059254,0.41924839956039506,False,False
21402,73117,0.33186060620171665,0.33186060620171665,0.652272000067936,False,False
21414,73738,0.22890557466943673,0.22890557466943673,1.3655520825008818,False,False
21415,73750,0.34935081531227574,0.34935081531227574,0.4857287786969028,False,False
21432,73801,1.252460864917583,1.252460864917583,0.32958023443122,False,False
21441,73211,0.6438057460532391,0.6438057460532391,0.8409293870149983,False,False
21549,74454,0.22576037234236643,0.22576037234236643,0.4078071228130361,False,False
21571,66801,0.5294078507312228,0.5131448873993552,0.016262963331867608,True,False
21587,67762,1.296273806529335,1.296273806529335,0.3106161152447653,False,False
21588,78819,1.305202726790949,0.6648154283686459,0.018660658139384223,True,False
21624,74543,0.35020022331622425,0.35020022331622425,0.9273786681212535,False,False
21654,75342,0.12772237226315586,0.12772237226315586,0.8609784686252876,False,True
21690,75867,0.29213963923773284,0.29213963923773284,1.1164472261637624,False,False
21733,75250,0.5062933601009384,0.5062933601009384,0.7544926929879473,False,False
21789,76430,0.17521509352629716,0.17521509352629716,1.0408488724614697,False,True
21813,76225,0.8224071908327693,0.8224071908327693,0.441272285206733,False,False
21840,76757,0.5454687805648,0.5454687805648,0.7290105108481277,False,False
21857,68050,1.8197386369679522,1.8197386369679522,0.033472993931790596,False,False
21936,77318,0.2509170983857738,0.2509170983857738,0.8411265662259195,False,False
21940,77211,0.21870794302374494,0.21870794302374494,1.4485017284662998,False,False
21943,77263,0.23151135281175894,0.23151135281175894,1.0813117775541836,False,False
21978,77591,0.09412939247865974,0.09412939247865974,0.9965978910369235,False,True
21994,60559,0.16229830735355044,0.16229830735355044,1.2368590836198141,False,True
21998,78148,0.5555988682884684,0.5555988682884684,0.8437863111275369,False,False
22007,67863,1.492215216993819,1.492215216993819,0.05969293100903572,False,False
22015,78247,0.41754295800289765,0.41754295800289765,0.8010261108878253,False,False
22028,78352,0.13787916969819458,0.13787916969819458,1.0333769235375105,False,True
22094,79140,0.6864898314806508,0.6864898314806508,0.15358246480821758,False,False
22099,79130,0.26795944234221836,0.26795944234221836,0.7329095119671064,False,False
22123,79825,0.45745262507532175,0.45745262507532175,0.4602283813481793,False,False
22136,79440,0.2856455523302505,0.2856455523302505,1.1592110925375527,False,False
22154,79545,0.15186418324714315,0.15186418324714315,0.4469612250340044,False,True
22163,79764,0.18884187023219146,0.18884187023219146,1.146269428835051,False,True
22180,79293,0.32277077691362865,0.32277077691362865,1.6753182326678493,False,False
22192,60841,0.5872828317282622,0.5432587543007761,0.04402407742748615,True,False
22201,60339,0.24262642186449748,0.24262642186449748,1.259756177262485,False,False
22205,60336,0.23882734655838816,0.23882734655838816,0.811690359836202,False,False
22231,60768,0.14468118576222744,0.14468118576222744,1.0520895154897845,False,True
22234,60845,1.0965245061740894,0.8102891512321299,0.2862353549419595,True,False
22249,60263,0.6521184956624526,0.6521184956624526,0.5759456379359522,False,False
22253,60140,0.40721624623775343,0.40721624623775343,1.290408860705483,False,False
22254,60146,0.2662080360542582,0.2662080360542582,0.4446108596408688,False,False
22261,60181,1.2919058767170315,1.2919058767170315,0.4530159357228627,False,False
22277,61101,0.1904003203027222,0.1904003203027222,0.7767970769551025,False,True
22292,61666,0.715084406814201,0.715084406814201,0.6014714734973008,False,False
22293,61643,0.3929668725958468,0.3929668725958468,0.5014882185176703,False,False
22305,52119,1.4882800557297498,1.4882800557297498,0.5017345119189405,False,False
22309,61456,0.4233666284882163,0.4233666284882163,0.9368936444286311,False,False
22312,61411,0.2616674242450403,0.2616674242450403,1.5253858920290702,False,False
22318,61365,0.3186831573257847,0.3186831573257847,0.42119850276786214,False,False
22332,61700,0.099422007758454,0.099422007758454,0.6693980266908568,False,True
22345,50758,0.5710244703443322,0.35565915757771827,0.21536531276661397,True,False
22349,65827,1.2099485328974742,1.2099485328974742,0.11867381604830807,False,False
22372,66444,0.9342346171535989,0.9342346171535989,0.10493295476384157,False,False
22380,62754,0.7373359151568395,0.7373359151568395,0.8236466993277172,False,False
22389,62363,0.161529904948932,0.161529904948932,1.0671350023918384,False,True
22397,62360,0.2710684056776236,0.2710684056776236,0.927868992816407,False,False
22404,62655,0.2731810613953969,0.2731810613953969,1.4014055368952667,False,False
22414,79825,1.2344228069367804,1.2344228069367804,0.3777116066511881,False,False
22419,62528,0.12721221164843227,0.12721221164843227,0.7795192995014464,False,True
22427,62242,0.14099903166914324,0.14099903166914324,1.2418786049142359,False,True
22428,62263,1.2059215200502713,1.2059215200502713,0.14451854378057338,False,False
22435,62869,0.27574168133957927,0.27574168133957927,0.7389406526976037,False,False
22458,464400,0.13948686534227328,0.13948686534227328,0.8853667763655476,False,True
22469,63145,1.0939162605492112,1.0939162605492112,0.27775266093879436,False,False
22473,79825,1.3276953092849988,1.3276953092849988,0.0750530465921635,False,False
22478,63103,1.2360479068290111,1.2200198574496195,0.016028049379391618,True,False
22487,63111,0.08888760848551328,0.08888760848551328,0.8202551853825183,False,True
22491,75340,1.0141339195024743,1.0141339195024743,0.49140548355660574,False,False
22505,63348,0.7691524711063001,0.7691524711063001,0.21374628921083305,False,False
22508,63342,0.17094422388078345,0.17094422388078345,1.1620787096514793,False,True
22539,64759,0.7367427816103616,0.7367427816103616,0.18522181690374107,False,False
22540,63765,0.21785264973803664,0.21785264973803664,1.0849221826385438,False,False
22548,62648,0.23146839270045855,0.23146839270045855,0.3173574942566853,False,False
22575,63464,0.242426603128035,0.242426603128035,0.6624655284148574,False,False
22583,78536,0.1723202502494415,0.1723202502494415,1.035193161575798,False,True
22592,76118,0.16497960199357964,0.16497960199357964,1.1432268524472167,False,True
22596,62937,0.4105657785417983,0.4105657785417983,1.4050343251539545,False,False
22597,62929,0.5654286555063551,0.5654286555063551,0.7203766822912187,False,False
22598,62951,0.9134404142123637,0.9134404142123637,0.44963747697307166,False,False
22615,62966,0.08307257310648314,0.08307257310648314,0.23201444045428743,False,True
22624,63950,0.4710283754236537,0.4710283754236537,0.5374484742832559,False,False
22651,64350,0.20672364398269572,0.20672364398269572,1.0046354213786408,False,False
22668,64565,0.3136895759498328,0.3136895759498328,0.34851673988870435,False,False
22675,64893,0.6245354843690701,0.6245354843690701,0.6998893146058968,False,False
22708,65764,0.1506486380852588,0.1506486380852588,0.5953618635525046,False,True
22710,65707,0.1437768295082602,0.1437768295082602,1.175885409577251,False,True
22720,64001,0.58092807673592,0.58092807673592,0.49162864437164844,False,False
22722,64041,1.5641630199456635,1.5641630199456635,0.08149736822933917,False,False
22729,65048,0.14419931057668153,0.14419931057668153,1.0574792600871856,False,True
22730,65056,0.21133580799212554,0.21133580799212554,0.8269843211373653,False,False
22735,61895,0.1289712548471527,0.1289712548471527,0.9107812252865157,False,True
22738,63543,0.12962917225349785,0.12962917225349785,0.7722744470336971,False,True
22739,65514,0.14220259189142725,0.08850938617898285,0.0536932057124444,True,False
22741,65060,0.16746203480763056,0.16746203480763056,1.6320896680083583,False,True
22742,65067,0.4902067653666094,0.4902067653666094,1.2955861432610862,False,False
22743,65062,0.1698068644046123,0.1698068644046123,1.0500211584223373,False,True
22759,64021,0.19465544920263822,0.19465544920263822,0.9053909757239429,False,True
