pid,tid,d1,margin
20938,70425,0.09620279571554637,0.45141584649063116
21170,71837,0.015789599999999973,0.24362467982725838
22028,78352,0.06983059734969957,0.3874196427154095
22332,61700,0.0026454285714285763,0.5330688571428571
22389,62363,0.06949876082732014,0.4419443643712026
22419,62528,0.08050512313434272,0.2562528396953841
22458,464400,0.05220770676499177,0.4539534141957835
22508,63342,0.04633579300210275,0.43566634592552267
22592,76118,0.07121267065118071,0.3826426214947045
22735,61895,0.08602768014555601,0.2635328848337554
22738,63543,0.07829487369272098,0.16837101106384467
22739,64504,0.0,0.10536051565782628
22741,65060,0.06301514147943485,0.5869852409122149
22743,65062,0.05988041428029812,0.19822493916666012
22763,62908,0.04347815000000002,0.41956554999999995
22908,65516,0.052769389092207464,0.32186461796904664
22911,75321,0.08711554620039125,0.4574879758145813
23225,67119,0.08470982254419429,0.38248271435397435
23238,67266,0.09152784389775134,0.42917707470846844
23384,69158,0.08714878662626854,0.1762864561126806
23415,458676,0.09003400358758759,0.3042194082232159
23422,68135,0.080564934287314,0.3112009299551205
23455,68556,0.09951596329043635,0.42271786106669673
23476,68050,0.0,0.14310084364067324
23534,68815,0.06744618417093759,0.18306901505154496
23670,61700,0.07142857142857141,0.4642857142857143
23673,69550,0.010103396226415179,0.2671011946842574
23693,69737,0.004761904761904759,0.405415415647248
23766,69934,0.03589739353446202,0.3210909132706831
23784,534648,0.08909956217541065,0.3823046272827603
23849,594902,0.08085343857152821,0.3928957710070882
23893,50556,0.08196987757941385,0.44017976333960485
23914,620982,0.07784652013261723,0.1661551497330698
23915,592468,0.022412238266728182,0.5674198996545307
24028,51097,0.04698686302994942,0.40203168018561475
24043,575070,0.04839679625527517,0.5150387953442304
24053,521655,0.09270025875831414,0.32187273978319364
24085,641149,0.006997396335960207,0.5698113955919538
24089,51301,0.09345206505473942,0.411830473466759
24097,595001,0.09590292333333336,0.34633536345991667
24110,621141,0.004950372552924959,0.565304561504888
24223,642098,0.07372884341199801,0.5409988433964684
24252,52060,0.06282899161509076,0.45241046284309466
24305,570240,0.040928465765217276,0.48626614169176796
24338,69803,0.09042721346303724,0.2107287162090572
24340,668766,0.009326857142857248,0.49952967171619195
24370,572143,0.011299333333333328,0.23262047646846493
24394,50711,0.09209288328045603,0.2868085760107332
24411,53455,0.06251470564180608,0.33727287588504173
24469,54561,0.06358076998578474,0.2028729888550522
24494,667498,0.0030318336980305893,0.17921820969976957
24626,680802,0.08187246435358829,0.10175055774747867
22622,63914,0.07979256429202986,0.4828701579260605
23307,67603,0.04503795909209525,0.4889996175460836
24109,664641,0.0509565602590054,0.7888545493425374
24313,571616,0.0033116931359354895,0.39437091376175987
24380,53596,0.08408497297297308,0.4164528899698812
